Date,Open,High,Low,Close,Adj Close,Volume
8/04/2019,36.650002,38.029999,36.450001,37.950001,37.950001,1218900
15/04/2019,38.169998,44.18,37.950001,43.459999,43.459999,4622600
22/04/2019,43.09,43.09,39.650002,43.049999,43.049999,4745000
29/04/2019,42.75,43.549999,42.650002,43.540001,43.540001,979700
6/05/2019,42.459999,43.380001,41.360001,42.630001,42.630001,2627700
13/05/2019,42.18,43.150002,41.040001,42.400002,42.400002,2210800
20/05/2019,42.77,44.650002,42.560001,44.610001,44.610001,2181500
27/05/2019,44.400002,44.93,43.59,44.139999,44.139999,933000
3/06/2019,44.41,45.59,43.509998,45.34,45.34,1463900
10/06/2019,45.650002,45.98,42.810001,43.150002,43.150002,2469400
17/06/2019,43.349998,45.139999,43.150002,44.610001,44.610001,804900
24/06/2019,44.52,45.82,43.639999,45.77,45.77,1468200
1/07/2019,46.5,47.119999,46.119999,46.77,46.77,1311700
8/07/2019,46.75,48.68,46.169998,48.23,48.23,2126300
15/07/2019,48.259998,48.41,47.259998,47.540001,47.540001,1237400
22/07/2019,46.84,47.009998,45.740002,46.220001,46.220001,1564500
29/07/2019,46.529999,48.43,44.869999,46.529999,46.529999,2682200
5/08/2019,45.77,47.080002,45.119999,46.400002,46.400002,1428700
12/08/2019,46.68,47.09,45.150002,47.049999,47.049999,1500600
19/08/2019,46.919998,47.93,46.650002,47.099998,47.099998,1053800
26/08/2019,47.200001,47.810001,47.110001,47.25,47.25,603900
2/09/2019,47.830002,48.799999,47.5,48.41,48.41,1054500
9/09/2019,49.080002,49.209999,47.549999,48.119999,48.119999,1339200
16/09/2019,48.040001,49.900002,47.810001,49.259998,49.259998,1231400
23/09/2019,49.200001,49.450001,46.599998,46.599998,46.599998,2284200
30/09/2019,46.470001,48.029999,46.200001,48.029999,48.029999,1243000
7/10/2019,47.080002,47.849998,46.02,46.220001,46.220001,1285500
14/10/2019,46.200001,46.68,44.290001,44.439999,44.439999,1907800
21/10/2019,44.439999,44.509998,42.060001,42.290001,42.290001,1350500
28/10/2019,42.68,49.900002,42.52,49.610001,49.610001,4765800
4/11/2019,49.650002,49.849998,47.849998,47.970001,47.970001,3972500
11/11/2019,47.860001,48.580002,47.380001,47.419998,47.419998,650600
18/11/2019,48.200001,49.59,47.459999,47.98,47.98,3847700
25/11/2019,48.330002,48.849998,48.25,48.389999,48.389999,603400
2/12/2019,49.380001,51.060001,49.380001,50.549999,50.549999,1384500
